relative_path,filename,extension,subdirectory,size_bytes,modified_utc
docs/diagrams/communications view.dot,communications view.dot,.dot,diagrams,1355,2026-09-21 20:45:37
docs/diagrams/communications view.dot.png,communications view.dot.png,.png,diagrams,12528,2026-09-21 20:45:37
docs/diagrams/communications view.dot.svg,communications view.dot.svg,.svg,diagrams,3240,2026-09-21 20:45:37
docs/diagrams/communications viewpoint.dot,communications viewpoint.dot,.dot,diagrams,1356,2026-09-21 20:45:37
docs/diagrams/communications viewpoint.dot.png,communications viewpoint.dot.png,.png,diagrams,13483,2026-09-21 20:45:38
docs/diagrams/communications viewpoint.dot.svg,communications viewpoint.dot.svg,.svg,diagrams,3248,2026-09-21 20:45:37
docs/diagrams/concern.dot,concern.dot,.dot,diagrams,573,2026-09-21 20:45:38
docs/diagrams/concern.dot.png,concern.dot.png,.png,diagrams,1478,2026-09-21 20:45:38
docs/diagrams/concern.dot.svg,concern.dot.svg,.svg,diagrams,1141,2026-09-21 20:45:38
docs/diagrams/concurrent.dot,concurrent.dot,.dot,diagrams,876,2026-09-21 20:45:38
docs/diagrams/concurrent.dot.png,concurrent.dot.png,.png,diagrams,4635,2026-09-21 20:45:38
docs/diagrams/concurrent.dot.svg,concurrent.dot.svg,.svg,diagrams,1997,2026-09-21 20:45:38
docs/diagrams/connected unit.dot,connected unit.dot,.dot,diagrams,927,2026-09-21 20:45:38
docs/diagrams/connected unit.dot.png,connected unit.dot.png,.png,diagrams,5804,2026-09-21 20:45:38
